Nama_Usaha,Alamat_Usaha,Kec_Usaha,Latitude,Longitude
TOKO FARINA,DESA JUMPONG RT.004 RW.001,Wonosari,,
TOKO PAK WAFI,KASEMEK RT.015/008,Tenggarang,,
TOKO KELONTONG,DUSUN GABUGAN RT 12 RW 3,Jambesari Darus Sholah,,
BENGKEL MOBIL BAROKAH JAYA MOTOR,Desa Jebung Lor RT 015 RW 001,Tlogosari,,
Pedagang mainan ,Jl kismangunsarkoro,Bondowoso,,
RUMAH HAMDAN,PERUM PANCORAN MAS BLOK D-14,Bondowoso,,
Tani makmur,Koarah Rt 01/Rw 06,Pakem,,
Pertanian,Jambeanom,Jambesari Darus Sholah,-7.980111,113.8466491
TOKO BERKAH,Dusun Tengginah RT 14 RW 03,Jambesari Darus Sholah,,
PERTANIAN JAYA,brambang darussalam,Tlogosari,,
TOKO SUMBER REJEKI,DESA SUMBERWRINGIN RT.005 RW.001,Sumberwringin,,
PANGKAS RAMBUT ASIS,Jl. Kis Mangun Sarkoro,Bondowoso,,
WARUNG,DUSUN EKA PRAJA RT 09/ RW 3,Maesan,,
UD. SISKA,Koncer Kidul Rt. 010 Rw. 004,Tenggarang,,
NAY'S KITCHEN,Dusun Krajan RT. 005 RW. 002,Tamanan,,
TOKO ODIK LAONAN,Desa Jebung Lor RT 021 RW003,Tlogosari,,
AZIS JAYA,Dusun Krajan RT 015 RW 001,Tlogosari,,
MEUBEL ABDUL AZIS,Dusun Kampung Baru RT. 017 RW. 005,Tamanan,,
JUAL AYAM,DUSUN PECUT 38/05,Maesan,,
SELEP PADI AZIS,LOJAJAR RT.010 /005,Tenggarang,-7.9433656,113.8562459
aziz komputer,sumber salam,Tenggarang,,
TOKO ANUGERAH AGUNG,JALAN WAHID HASYIM RUKO PASAR,Bondowoso,,
Pertanian,Desa Jetis RT.19 RW.08,Curahdami,,
TERNAK,"Desa.Penanggungan,kec.maesan,kab.bondowoso,provinsi. Jawa timur",Maesan,,
Asia funiture,Dusun pal16,Binakal,,
TOKO GRAFFA AISI,Grujugan Lor RT. 002 RW. 001,Jambesari Darus Sholah,,
TOKO PRACANGAN,JETIS RT 11 RW 6,Curahdami,,
Serbuk Jahe,"Koncer Darul Aman, RT08/RW04, Tenggarang, Bondowoso",Tenggarang,,
UD DIAN PUTRI,DUSUN KRAJAN RT.007 RW.003,Tenggarang,,
UD.NADITA,"Sumber Pandan. Rt.05/02, Kecamatan Grujugan, Kabupaten Bondowoso",Grujugan,,
JUAL NASI,DUSUN GUNUNG MALANG 28/07,Tamanan,,
BAKSO TOMI,DUSUN KRAJAN RT.001 RW.001,Tamanan,,
27P,JALAN RAYA DUSUN GEDANGAN RT 030/ RW 003 DESA SUGER,Maesan,,
AYAM SEHAT,CURAHDAMI RT003 RW 002,Curahdami,,
PERTANIAN,JEBUNG KIDUL,Tlogosari,-7.9693898,113.923198
WARUNG ABDUL,"Sulek, Rt: 010 Rw: 004",Tlogosari,,
"PEMBIBITAN AYAM BURAS ""GANDHI""",Dusun Sraten I RT.002 RW.002,Prajekan,,
NURUS ,DUSUN JATIAN RT 10 RW 05,Maesan,,
UD. STAR JAYA JAMUR,Jl. Pringgondani Desa Sukowono RT. 06 RW. 02 Kec. Pujer,Pujer,,
PETERNAK AYAM POTONG,Dusun Sletreng Rt.03 Rw. 02 Desa Kupang,Curahdami,,
UD DANI PUTRA,KENANGA RT.030 RW.005,Grujugan,,
Toko Sembako,Dusun pejagan RT 07 RW 02,Jambesari Darus Sholah,,
Kios Dian ,"Jl. Kismangunsarkoro, Tamansari RT/RW : 011/004. Kab. Bondowoso",Bondowoso,,
PETANI,DUSUN KRAJAN RT/RW 009/003,Jambesari Darus Sholah,,
Petani,Barat gunung,Maesan,,
UD SASTRA JAYA,Desa Sumbersari,Maesan,-8.0236895,113.7770721
"TOKO "" HADI LOTRE """,DESA PEKALANGAN RT.05/01 KEC.TENGGARANG KAB.BONDOWOSO,Tenggarang,,
UD HADI JAYA,DUSUN  SLETRENG,Curahdami,,
Maju Sejahtera,Kembang RT006/RW002 jalan mastrib kembang,Bondowoso,,
"UD. ""KERTAJAYA""",JALAN RAYA PETUNG DUSUN KRAJAN RT.003 RW.001 ,Curahdami,,
"UD.""KERTAJAYA""",JALAN RAYA PETUNG DUSUN KRAJAN RT.003 RW. 001 ,Curahdami,,
TOKO ABADI,Jl. WRINGIN,Wringin,-7.8199217,113.7573145
PERACANGAN,DUSUN KARANG TENGAH RT.16 RW.03,Tamanan,,
"UD ""SELVIRA""",RT. 033 RW. 004 DUSUN SUMBERAYEM,Sumberwringin,,
BENGKEL LAS HALIK,PEKALANGAN RT.009 RW.002 ,Tenggarang,,
UD CAHAYA MOTOR,"Tempat Usaha, Compresor, dan Lain - Lain",Maesan,,
TIGA PUTRI,DUSUN ARAJA RT.02/RW.01 DESA SUCO LOR KECAMATAN MAESAN KABUPATEN BONDOWOSO,Maesan,,
Penjahit HALFI,Jl.IMAM BONJOL,Bondowoso,-7.9160486,113.8298047
KAMBING SEHAT FARM,Dusun Karang Malang RT 10 RW 02,Jambesari Darus Sholah,,
UD RAHMAWATI,PENANGGUNGAN,Maesan,-8.0202248,113.7784156
GPM RELOAD,"DS TLOGOSARI RT 11,RW 3 KECAMATAN TLOGOSARI",Tlogosari,,
pertanian,selolembu,Curahdami,-7.8966014,113.7897075
INDUSTRI SANGKAR BURUNG,DESA KEJAYAN RT 15/04,Pujer,,
Perbaiki barang kayu bekas,Desa kembang RT 003/RW 001 Kec. Bondowoso Kab.Bondowoso,Bondowoso,,
Perdagangan,Hos cokro aminoto rt024 rw004 kademangan bondowoso,Bondowoso,,
PERTANIAN JAYA,JEBUNG KIDUL,Tlogosari,-7.9693898,113.923198
TOKO AFAF AFIF,DUSUN GUNUNG MALANG UTARA,Tamanan,,
WARUNG NASI,DUSUN EKAPRAJA RT.09 RW.03,Maesan,,
Hasib_Petani,Dusun Krajan,Tamanan,,
""" JUAL BELI KELAPA """,Desa Pecalongan RT.014 RW.004,Sukosari,,
Darsoub,Silolembu ,Curahdami,-7.8957477,113.7948265
AGEN MADU HUTAN,desa kupang Rt.04 Rw.02 Kecamatan Curahdami Kabupaten Bondowoso,Curahdami,,
PETERNAK MANDIRI,"DUSUN SLETRENG, Kel. Kupang, Kec. Curahdami, Kab. Bondowoso,
Prov. Jawa Timur",Curahdami,,
UD JALIL,DUSUN KRAJAN RT 02 RW 03,Curahdami,,
UD PUTRA HARAPAN,JL.KH.Asy' ari No.330,Bondowoso,,
UD ABDUL KADIR JAILANI,SEKARPUTIH RT.020 RW.005,Tegalampel,,
KULINER,DUSUN KOANYAR RT017 RW003 DAWUHAN GRUJUGAN BONDOWOSO,Curahdami,,
AN-NI'MAH TAILOR,Jl.PB. Sudirman no 54 Dabasah Bondowoso,Bondowoso,,
MAJU MAPAN SEHAT,Jalan K.H. ASYARI 280,Bondowoso,,
PEDAGANG sAYUR KELILING,GRUJUGAN LOR RT.18 RW.03,Jambesari Darus Sholah,,
Usaha jamur tiram,Krajan RT 013 RW 003 ,Curahdami,,
KRUPUK DUA PUTRI,PADASAN RT.009 RW.004,Pujer,,
Latif Las,"Dusun Salak RT/RW 005/003, Taal, Tapen",Tapen,,
TERNAK BURUNG BAROKAH,KASEMEK RT.019 /010,Tenggarang,,
Rengginang barokah,Dusun lapangan RT 005 RW 002 desa sumbersari kecamatan Maesan kabupaten Bondowoso,Maesan,,
Proses Pengolahan Makanan Pasca Panen,Jl. Sumber Anyar Dusun Kebundara,Jambesari Darus Sholah,,
SINGKONG LANCAR,Desa sumber tengah,Binakal,,
Taxi Online,DESA DADAPAN RT001/RW001,Grujugan,,
Taksi Online,DADAPAN RT001/RW001,Grujugan,,
UD. MITRA USAHA,Maskuning Wetan RT. 012 RW. 002,Pujer,,
"UD. "" MAKMUR """,Desa Sukosari Kidul Rt.016/Rw.004,Sumberwringin,,
GRUJUGAN KIDUL BATU BATA,Dusun Grujugan Kidul RT 19 RW 03,Grujugan,,
PENJUAL TANGLOR,DESA LEPAK RT.06 RW.01,Klabang,,
AM Buku dan Percetakan,"Jln. KH. Agus Salim, Gang X, No.2, RT. 15, RW. 04",Bondowoso,,
PERUSAHAAN BATU BATA,Dusun Krajan RT/RW : 003/001 Desa Pejagan Kecamatan Jambesari Darus Sholah Kabupaten Bondowoso,Jambesari Darus Sholah,,
TOKO LANCAR JAYA,DUSUN KRAJAN RT.032 RW.006 JAMBEANOM,Jambesari Darus Sholah,,
UD RAHMA,Desa Tegal MejinRT. 002 RW. 001,Grujugan,,
Furniture sofa bakpao,Rt17,Taman Krocok,-7.9134402,113.8222709
Konter,Dusun krajan,Jambesari Darus Sholah,,
NADYA COLLECTIONS,Desa Tegalmijin,Grujugan,-7.98795,113.8253127
Budidaya jamur tiram,Krajan II RT.07/RW.01 DESA.SUMBERWRINGIN KEC.SUMBERWRINGIN,Sumberwringin,,
""" BAROKAH """,Desa Pecalongan RT.005 RW.001,Sukosari,,
SINAR BARU,JL. SITUBONDO-WONOSARI,Wonosari,-7.8868878,113.89253
TOKO SUBUR,DSN LUMBUNG RT/RW 003/002 ,Tenggarang,,
Pendidikan Anak Usia Dini Darul Falah,Jl. K. Massyur ,Cermee,,
Produksi Krupuk,PAKUNIRAN RT. 06 RW. 02 MAESAN BONDOWOSO,Maesan,,
Jigor Ulek Cak Qohir,"Dusun Krajan Rt 04 Rw 02, Desa Grujugan Lor kecamatan Jambesari Darus Sholah",Jambesari Darus Sholah,,
KERUPUK IKAN JEJE,Jl. Diponegoro Rt. 025 Rw. 005 ,Bondowoso,,
PENGRIAS PENGANTIN,Dusun Kaliayar Krajan RT. 006 RW. 001,Tamanan,,
UD MAULANA,Dusun Paleran RT.006 RW.002,Maesan,,
Akbar Elektrinik,Dusun kepunan desa jeruk soksok kec. Binakal Kab. Bondowoso,Binakal,,
PENJUAL MINUMAN KELILING,DESA BOTOLINGGO RT.36 RW.12,Botolinggo,,
Produksi kue,Blindungan gg tetong rt17 rw04,Bondowoso,,
TANI ROZAK,GRUJUGAN LOR RT/RW 010/002,Jambesari Darus Sholah,,
UD. ANTARA,Dusun Kaliayar Selatan Rt 017 RW. 004 Tamanan,Tamanan,,
pertanian,lojih,Curahdami,,
AW,petung rt 06 rw 02 kecamatan curahdami kabupaten bondowoso,Curahdami,,
UD  PATENANG,DESA GAYAM RT.001 RW.011,Botolinggo,,
Pedagang eceran,dusun kerajan,Jambesari Darus Sholah,,
WAFI BERKAH,DESA CURAHPOH RT 005 RW 001 KEC. CURAHDAMI - BONDOWOSO,Curahdami,,
WARUNG ALZARO,Desa Ramban Kulon Rt. 008 Kec. Cermee Kab. Bondowoso,Cermee,,
Tempe Fitrah,"Jalan raya cermee, desa suling kulon, RT 11",Cermee,,
perternakan,jetis rt18/07,Curahdami,,
WAFIE JAYA,Dusun Krajan RT 001 RW 001,Tlogosari,,
Sedep Roso,Dusun Krajan RT 001 RW 001,Jambesari Darus Sholah,,
MAYA BUAH,"Botolinggo, Rt: 021 Rw: 008",Botolinggo,,
Royal Cokelat dan Es Cream,Imam Bonjol RT. 18 RW. 04 Kademangan Bondowoso,Bondowoso,-7.9160486,113.8298047
UD MITRA PERDANA,HOS COKROAMINOTO RT 05 RW 01,Bondowoso,,
Bakso Keliling,Dusun Karang Malang RT 021 RW 005,Jambesari Darus Sholah,,
KRIPIK IBU FARIS,DESA JATITAMBAN RT 011/RW 004,Wringin,,
"UD. ""PUTRA TUNGGAL""",JALAN PELITA GANG SUMBER NOMER 83 RT.015 RW.006,Bondowoso,,
Ternak dan penjualan kambing,"Tamanan,Bondowoso",Tamanan,-8.0163221,113.8264768
De Rosy,jl. Penjaitan gg.BOOR. NO 46 RT 001 RW 001 DESA TAMANSARI,Bondowoso,,
WARUNG MAKAN,Lengkong,Tapen,-7.8511543,113.9252941
AHLI GIGI JAYA KUSUMA,PEKALANGAN RT.018 RW.03,Tenggarang,,
PEDAGANG,SUKOWONO,Pujer,-8.0096136,113.9134508
UD BAROKAH,DESA TAMANAN RT.023 RW.005,Tamanan,,
Pertanian,Dusun Salak rt/rw 04/02,Curahdami,,
BAKSO STADION,Jl. LETNAM RANTAM RT.034 RW.007,Bondowoso,,
pertanian,selolembu 06/02 curahdami bondowoso,Curahdami,-7.8966014,113.7897075
MAKANAN,SELOLEMBU RT 006/RW 002,Curahdami,,
UD ABDULLAH FARM,JAMBESARI RT 12 RW 03,Jambesari Darus Sholah,-7.9793011,113.841238
Abdullah,Sempol Kec.Prajekan,Prajekan,,
UD AN NISA ,DUSUN TAHUAN KALIANYAR RT.022 RW.005,Tamanan,,
INDUSTRI TAHU,DUSUN GUNUNG MALANG RT.30 RW 07 ,Tamanan,,
JUAL ANEKA GORENGAN ,DUSUN DAWUHAN RT 012/ 003,Maesan,,
ALIF JAYA CELL,DESA SUMBER KEMUNING RT.027 RW.007,Tamanan,,
UD BERSIH SEGAR ALAMI,JL RE MARTADINATA 66,Bondowoso,,
Cabe pak ela,Desa mengok Rt 011 Rw 004,Pujer,,
ARABIAN,Jl. Raya Situbondo RT.011 RW.004,Tenggarang,,
WASIT MOTOR SECOND,Dusun Tengginah RT 14 RW 03,Jambesari Darus Sholah,,
PANGSIT MIE AYAM BAROKAH,DUSUN TAMAN RT 009 RW 002 ,Curahdami,,
TOKO BERKAH,DESA KLABANG RT.008 RW.002,Klabang,,
Petani,Petung rt/rw:02/01,Curahdami,-7.84624,113.7369977
Perkebunan tembakau,Ardisaeng,Pakem,-7.8965543,113.7255254
"PENJAHIT "" DANI """,Kampung Haji RT.002 RW.001,Tenggarang,,
GENTENG TIGA SAUDARA,KRAJAN RT.002 RW.001 KONCER KIDUL,Tenggarang,,
Toko Barokah,Dusun Krajan RT 004 RW 001,Jambesari Darus Sholah,,
Mina Sejati,Dusun Masjid Rt 003 Rw 001,Binakal,,
Sayuran,Curahdami Rt 02 Rt 01,Curahdami,-7.9129901,113.7915695
JUAL TAHU,Jl.pakisan desa pekalangan rt21 rw04,Tenggarang,,
ABDUR ROFIK,Ds. Tegalampel RT.06 Rw.01,Tegalampel,,
ABDUR ROFIK BERAS,Sekarputih RT.021 RW.006,Tegalampel,,
ABDUR ROFIK SELEP,Sekarputih Rt.021 Rw.006,Tegalampel,,
"UD "" RAHMAN """,Desa Sukosari Kidul RT.13 RW.03 Kec.Sumber Wringin,Sumberwringin,,
MEUBEL ROZI,SUMBERMALANG RT/RW 006/002,Wringin,,
Toko ANI,Dusun Krocok oloh RT.03 RW.01,Taman Krocok,,
prdagangan,jetis rt 15 rw 06,Curahdami,,
Abdul Sablon,"Dusun Krajan Atas, Rt 003/Rw 001",Maesan,,
TERNAK SAPI PAK HERMAN,SUKOKERTO RT.015 / 006,Pujer,,
Besek Aira,Desa ambulu RT.10 RW.003,Wringin,,
Rahman_lele,dusun waduk,Tamanan,,
KIOS BAROKAH,Jalan Raya Kawah Ijen RT. 033 RW. 004,Sumberwringin,,
POKTAN ANDUNG TANI SATU,Desa Andungsari Rt 06 Rw 03,Pakem,,
UD RAHMAN MAKMUR,Traktakan RT.07/02,Wonosari,,
KOPIMU,SUCULOR RT.011 RW.003,Maesan,,
KEDAI KUYA,Jln. Situbondo RT. 033 RW. 011 Ds. Wonosari Kab. Bondowoso,Wonosari,,
Petani Sukses,Desa Gadingsari Rt.08 Rw.02,Binakal,,
UD SINAR BARU,KRAJAN RT 02 RW 01,Klabang,-8.002702,113.861871
PENGUSAHA KAMBING,Dusun Kramat RT 001 RW 004,Curahdami,,
UD BAROKAH SEJATI,JL.LETNAM RANTAM,Curahdami,,
STARS.CLOTING.CO,Desa Padasan RT 09 RW 04,Pujer,,
PERTANIAN JAYA,SULEK,Tlogosari,-7.9844414,113.9350963
BAKSO MIE  SALAM,Dusun Paleran RT.006 RW.002,Maesan,,
Pengusaha tanaman pepaya,Dadapan bondowoso,Grujugan,-7.975427,113.7938979
MADU HUTAN GUNUNG RAUNG,"Dusun Krajan I, Rt: 005 Rw: 000",Sumberwringin,,
perdagangan,sumbermalang,Wringin,-7.843344,113.7680581
SALES RAMBAK SAPI PAK TAUFIK,PEKALANGAN RT.018/003,Tenggarang,,
SALAM JAYA,kh agussalim no 23,Bondowoso,,
TOKO KEKUATAN,GRUJUKAN LOR,Jambesari Darus Sholah,,
Fian Jaya,RT 003 RW 001,Curahdami,-7.9134402,113.8222709
TOKO TIGA PUTRA 2,Jl. Raya Pengarang Rt. 002 Rw. 003 Dusun Karang Tengah,Jambesari Darus Sholah,,
RAJA TERAKHIR FARM,"Jambewungu, Wringin, Bondowoso ",Wringin,,
WARUNG KOPI PAK SHOMAD,BATAAN RT.010 / 003,Tenggarang,-7.9206249,113.8444367
"UD "" JAYA ""","Desa Rejo Agung,Dusun Plampang Utara Rt.018\Rw.004",Sumberwringin,,
Dea berkah,Desa kembang rt12 rw 04 kecamatan bondowoso kab.bondowoso,Bondowoso,,
Penjual bakwan keliling,desa kademangan,Bondowoso,,
air bor,pasarejo,Wonosari,-7.905684,113.8922203
PEDAGANG JAYA,SULEK,Tlogosari,-7.9844414,113.9350963
TOKO NURUL JAYA,Dsn. Kepek Rt: 001 Rw: 001,Cermee,,
Warung makanan barokah,Jl. Raya pakisan Lojajar Kec. Tenggarang,Tenggarang,,
PETANI TEMBAKAU,DUSUN KRAJAN RT/RW 010/004,Jambesari Darus Sholah,,
P3N NETWORK, desa koncer kidul rt 15 rw 06 kecematan tenggarang kabupaten bondowoso,Tenggarang,,
ALVARO ANUGRAH,petung rt 01 rw 01 ,Curahdami,-7.84624,113.7369977
Sengon Balap,"Desa banyuputih, kec. Wringin, kab. Bondowoso",Wringin,,
pertanian,jetis Rt 15 rw 07,Curahdami,,
Pertanian,Lojih rt:11/5,Curahdami,,
INDUSTRI BATU BATA,Desa Taman Rt 015 Rw 010,Grujugan,,
Jual beli hasil pertanian,"Desa Tapen , dusun bunotan  rt 36 rw 12 , jalan sampean baru ",Tapen,,
JASA BANGUNAN,DUSUN KRAJAN RT/RW 020/003,Jambesari Darus Sholah,,
perdagangan,jetis Rt 09 rw 04,Curahdami,-7.9546231,113.7920144
counter pulsa,dusun krajan,Jambesari Darus Sholah,,
TOKO NABILA,Grujugan Rt. 001 Kecamatan Cermee Kab. Bondowoso,Cermee,,
KERAJINAN,JLN IMAM BONJOLGG1,Bondowoso,,
pertanian,Desa Jetis RT. 16 RW.07,Curahdami,,
pertanian,jetis rt 08 rw 03,Curahdami,-7.9546231,113.7920144
CAHAYA BINTANG,Dsn. Krajan RT. 005 RW. 001,Tlogosari,,
TOKO JONG SAKERA,JALAN KAWAH IJEN BONDOWOSO DUSUN KEMIRIAN RT 037 RW 011 DESA WONOKUSUMO  ,Tapen,,
TOKO '' AL- AMINAH '',BAJURAN Rt. 13,Cermee,-7.817676,114.0453028
PEDAGANG JAYA,JEBUNG KIDUL,Tlogosari,-7.9693898,113.923198
KOPERASI PONDOK PESANTREN MIFTAHUL ULUM,DESA SUCOLOR RT 024 / RW 006,Maesan,,
Kedai Mie Jotos,Jl. DR. Sutomo II (Gg. Manggis) No. 760 Potos RT. 016 / 002 ,Bondowoso,,
PEDAGANG,DUSUN KRAJAN RT/RW 010/003,Jambesari Darus Sholah,,
Warung Kacang,Gerobak,Bondowoso,,
Penjual jus buah,PB SUDIRMAN,Bondowoso,-7.9127901,113.8258163
PEDAGANG,DUSUN KRAJAN ATAS RT.09 RW.01,Maesan,,
Warung enak,Jl. Brigpol Sudarlan RT.15 RW.04,Bondowoso,,
TUSUK SATE KONCER MAS,DUSUN KAMPUNG BARU RT005/RW003,Tenggarang,,
ABATA BAYU,Jalan Kolonel Sugiono 62 Kademangan Bondowoso,Bondowoso,-7.9171767,113.8298193
UD BIN ALI,KH ASYARI RT.017 RW.004 ,Bondowoso,,
UD BIN ALI ,JL. KH ASYARI RT.017 RW.004,Bondowoso,,
DAGANG,PAKISAN,Tlogosari,-7.9295798,113.8454545
Dhom Art&Miniature Furniture,JL.RE.Martadinata GG.Menang 36 RT/RW 32/08 Dabasah BONDOWOSO,Bondowoso,,
CHERI@HYDROFARM,Dusun krajan rt 08 rw 03 ,Maesan,,
PUTRI SAKINAH,LUMUTAN,Botolinggo,-7.8168267,113.9807756
PREDATOR SABLON,Selatan sawah rt 01 rw 01,Curahdami,,
Toko imam,Desa Curahpoh RT 8 RW 03,Curahdami,,
Warung,DUSUN BATUAN RT/RW 003/001,Sumberwringin,,
BRSC (Bina Rumah Sehat Corporation),PANJAITAN RT.006 RW.002,Bondowoso,,
Pedagang ,Kotinggi ,Curahdami,-7.9233984,113.7883929
"TOKO ""HADATU""",DESA CINDOGO RT.022 RW.009,Tapen,,
Westcity.Net,Brigjen Katamso No. 41 RT 008 RW 002,Bondowoso,,
Pedagang Premium Eceran,Dusun Krajan RT. 002 RW. 001,Jambesari Darus Sholah,,
PARFUM,JL. MARTHADINATA,Bondowoso,,
Toko Subur,"Kali Nangkaan, Dabasah, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68211",Bondowoso,,
dbk catering,hos cokrominoto 77 RT 02 RW 01,Bondowoso,,
PENJUAL BARANG PECAH BELAH KELILING,DUSUN KARANG KO'ONG RT.09 RW.06,Wringin,,
Yung Coffe,dusun sendi desa bercak asri rt 15 kec cermee kab bondowoso,Cermee,,
MEBEL PERINTIS JAYA 2,JL.MASTRIP RT.003 RW.001,Bondowoso,,
UD. ALBY BAROKAH,Dusun Krajan Rt.005 Rw.002 ,Sumberwringin,,
Peternakan Kambing,Kajar Rt 08 / Rw 02 Bondowoso,Tenggarang,-7.9375867,113.8433413
BENGKEL LAS F2 BAROKAH,"JL DIPENOGORO RT 17,RW 4 KELURAHAN KOTAKULON KECAMATAN BONDOWOSO",Bondowoso,,
Rahma Snack&Frozen,"Desa Sulek ,Kecamatan Tlogosari, Kabupaten Bondowoso
RT12, RW 06",Tlogosari,,
Sahabat Kopi,Ramban Wetan RT.03 RW.02 Kecamatan Cermee Kabupaten Bondowoso,Cermee,,
