Nama_Usaha,Alamat_Usaha,Latitude,Longitude
TOKO SINAR TERANG MEBEL,JALAN RAYA PAKISAN PUJER,,
TOKO SINAR MAS,Jln. Raya Pakisan ,,
Makanan dan Minuman,Jl. Diponegoro RT. 35 RW. 04 bondowoso,,
Petani Cabai,Sumber Kokap RT 03/02,,
TOKO CRJ,SUMBER SALAM RT.023 RW.007,,
ikan hias ixrom,AIP MOEGIMAN RT 15 / RW 06 KONCER KIDUL TENGGARANG BONDOWOSO,,
Cantika Catering,Jln. Diponegoro Kotakulon Gg VI RT 25/05,,
CAFE 7 KAWAN,Kembang Permai Rt. 034 / Rw. 010,,
Berkahfood,A YANI 31,,
Foto Copy,Desa cermee rt.21 ,,
MIE AYAM CATUR,"JL. Hos Cokroaminoto,",,
MINA SEMBADA,"Desa Petung, Kecamatan Pakem, Kabupaten Bondowoso",,
Penjahit Sasha,Jl. Letjend Suprapto Gang Pesantren Dabasah Bondowoso,,
BAROKAH,Dusun Karang Tengah RT. 009 RW. 002,,
ETEK MARCUET,Jl. Saliwiryo Pranowo RT 006 RW 002,,
Suryanitailor,Jurang sapi rt44 rw 14 kecamatan Tapen Kabupaten Bondowoso,,
perbaikan alat,gang manyar dusun sreten 1,,
UD NACHILA,JL.HOS COKROAMINOTO ,,
Warung soto blindungan,Jl.panjaitan pujasera smada,,
"Toko "" Sari Jaya """,Jln Kis Mangunsarkoro No. 07 Kelurahan Tamansari RT 02 RW 01 Kec. Bondowoso  Kab. Bondowoso,,
Bakso Pak Yubi,Perumahan villa kembang asri fb 16 sukowiryo Bondowoso,,
CHINTIA KOSMETIK,Jl. Aip moegiman no.41 RT.13 RW.05,,
perdagangan eceran makanan minuman tradisional,tangsil kulon rt 15 rw 005,,
ijen kopikoe,sukorejo krajan,,
TOKO HATIRA,PASAR DESA SUKOSARI LOR,,
PRIMA JAYA BURUNG,Pasar Kita Jebung Kidul Los No. 08,,
Bondowoso Fried Chicken (BFC),Jl. PB. Sudirman Gg. II No. 26 RT 19 RW 005,,
Olala,Klabang RT/RW 009/003 Bondowoso,,
Piyo Piyo,Klabang RT/RW 009/003,,
Asongan susu kedelai,Jl. Abdul Wahid no.63,,
Kue christy,Blindungan rt 015 rw 004,,
Yammi Yoghurt,"Asmil Yonif raider 514, curahdami, Bondowoso, Jawa Timur",,
Cici cake,Jl.sucipto yudodiharjo,,
ISTANA BUAH,Jl. Pasar Cermee Samping Toko Emas Sidodadi Sebelah Barat,,
CICI BAKERY,Dusun Paleran RT04/ RW 02 Penanggungan Maesan,,
CICIK SRI SAKSAMI,Perum Tegalasri RT.07 RW.02,,
BATIK KI RONGGO,Krajan 1 Desa Sumbersuko RT. 02 RW. 01 ,,
KONTER MAUDY 3,"DESA TRAKTAKAN RT 01,RW 01 KECAMATAN WONOSARI",,
SALON CECE,PONCOGATI RT.010 RW.003,,
ALLECHA SHOP,Jl. Letnan Rantam Gg. Genggong No.20 Badean Bondowoso,,
CHE.RI KITCHEN,Jl. Letnan Rantan Gg. Genggong No.20 Badean Bondowoso,,
CINIPTO TERNAK,Kelurahan sekarputih,,
KLAMBI BOCAH,BRIGJEND KATAMSO 72A RT/RW : 08/02,,
NIBROS TOKO,RT.012 / RW.004,,
Dhepor Mama,Tegalampel ,-7.8872231,113.8495227
"TOKO "" SUBUR JAYA """,Kembang Rt. 019/---,,
UD BILAL MAKMUR,MANGLIWETAN 15/07,,
syachira Frozen food,Tamansari indah blok j no 3 Bondowoso,,
Lapak Bunda Citra,"Dusun drasah, RT 25-RW 10, Desa Kalitapen, kecamatan Tapen",,
silky pudding bondowoso,jln kh agussalim no 40 rt 08 rw 03,,
PENJUAL CILOK,JL MASTRIP RT 14 RW 04,,
CITRA TAYLOR,"Desa Prajekan Lor, RT. 003 RW. 002",,
PERLENGKAPAN KUE DAN CATERING,KELURAHAN SEKARPUTIH RT04 BLOK PASAR KECAMATAN TEGALAMPEL,,
Warung lesehan lalapan,ALUN ALUN DEPAN LAPAS BONDOWOSO,,
TOKO JUAN,Jl. Trunojoyo Dusun Pasar RT 002 RW 001,,
PEDAGANG ECERAN ,desa kembang rt 19 rw 07 kecamatan bondowoso ,,
PRACANGAN,TAMAN RT.01 RW.01,-7.872528,113.886366
Cung Sound System,Paguan Rt 02 Rw 01,-7.8946702,113.8622831
TV KABEL,SEKARPUTIH RT 013 RW 004,,
KUE AYNUL  YAQIN,DUSUN KRAJAN IV RT 015 / RW 004,,
JAHIT PUNCAK,Dusun Lapangan Rt 005/Rw 002,,
UMKM Industri Tempe,Dakon 1 RT 14 RW 03 ,,
TOKO FAJAR,RT. 11 DESA SEMPOL,-8.0061837,114.1506007
BENGKEL,DUSUN KRAJAN ATAS RT 01 RW 01,,
PENJUAL GORENGAN,DESA LEPRAK RT.06 RW.01,,
D-TO'S RABBIT CULLINARY,Curahpoh Rt 02,-7.9262945,113.7861943
Dela_Cake,Jl. Sumber Anyar. Dususn Kebundara,,
TOKO GOLDEN,"JL. RAYA SITUBONDO, DESA KALITAPEN RT.01 RW.01",,
UD. ROYAL,"JLN VETERAN, DABASAH, BONDOWOSO",,
Pangsit Mie Ayam Gloria,Jl. Diponegoro,-7.9079348,113.8130524
UD SAHABAT INTI BANGUNAN,Traktakan Bondowoso,-7.8960183,113.8779448
,"Traktakan, Bondowoso",-7.8960183,113.8779448
UD BINTANG JAYA,Desa Mangliwetan RT 09 RW 04,,
TOKO OLEH-OLEH DEWANDARU,JALAN KISMANGUNSARKORO 52 RT.028 RW.007 ,,
Barokah Doa Maesan,"jalan Jember Bondowoso, No 17 RT 037 RW 05, ",,
Queen Bakery,Dusun talpek RT 14 RW 02 desa sumbersuko ,,
Kerupuk dua kakap,Mengok RT 2/ RW 01 Mengok,,
,Mengok RT 02 / RW 01 Memgok,,
""" JBL FOUNDATION """,Dusun Krajan RT 012 RW 002,,
,Jl. Pakisan No. 01 Desa Pakisan,,
DANIL UCIHA,"Gayam, Rt: 008 Rw: 012",,
"""TOKO DIAN""",Desa Kerang Rt.002/Rw.001,,
CV. FIVEPILLAR SENTONG,RT. 021 RW. 005 DUSUN SOKLEH TIMUR,,
TOKO SUMBER ABADI,JL. YOS SUDARSO kEL. BLINDUNGAN,,
WARUNG BUK KADIR,JALAN DIPONEGORO,-7.9079348,113.8130524
DANY OIL,Perum kembang permai HH.16 RT 33 RW. 010,,
Gorengan,Jalan Pelita RT 15 Rw 06 Kelurahan Tamansari,,
PETANI,DUSUN KRAJAN RT/RW 017/003,,
STMJ,"DUSUN GUMUK JAJAR, RT:27 RW:13  ",,
TOKO PRACANGAN,DUSUN JASABA RT.25 RW 08,,
DARSUKI SPEED,"Dusun Posong, RT 020/RW 006, Kel. Tapen, Kec. Tapen, Bondowoso",,
UD SEJATI,DESA ARDISAENG RT.003 RW.002,,
Jahit baju dan vermak pakaian,Wonosari RT 31 RW 10,,
Es Manado,Jl. A. Yani,,
dandy bakery,"jl. Diponegoro, gang 5",,
DAVID BENGKEL,Jl. Ahmad yani No 113 Bondowoso,,
pengecer rokok,jl letjen soeprapto,,
,RT.015 / RW. 003,,
,RT.011 / RW.003,,
Shane Computer,Jl Sucipto Yudodiharjo No 06 ,,
KONVEKSI NANO NANO,JEND POL S YUDODIHARJO RT.029 RW.006,,
AMIRAH ACCECORIS,Prajekan Kidul RT.004 RW.001,-7.7967708,113.9800836
DECHILA FLORIST,Kembang Permai Blok J 07,,
WARUNG TONGGO DEWI,DUSUN KRAJAN SELATAN RT.002 RW.001,,
DEBBY ONLINE SHOP,Dr. Wahidin Sudirohusodo 48,,
DEBY MOTOR,Jl. Gardu Atak Gununganyar RT.006 RW.002,,
,Jalan Gardu atak gununganyar Dusun Krajan Baru RT.006/002,,
TOKO SUMBER ABADI PUTERA,JALAN DESA MENGOK ,,
TOKO RISKY,Cermee Rt 10,-7.7782644,114.0481925
Gerobak mama dede,jalan letjen suprapto gang pesantren rt 13 rw 03 no 33,,
Toko Anita Sembako,Jl.Hoscokroaminoto Kademangan Kulon Rt 24 Rw 04,,
UD INTAN IDOLAKU,Jl. Letnan Sudiono No. 20,-7.9159471,113.8226828
cocopuspita,"JL. Letnan Rantam
Perum Istana Bondowoso Blok G No 18
Badean - Bondowoso",,
,"JL Letnan Rantam
Perum Istana Bondowoso Blok G - 18
Badean – Bondowoso
081266752977",,
Konter pulsa,Desa sulek rt15/rw 07,,
pembibitan kambing,sumber wringin rt/rw 05/01,,
Perdagangan,Lojih Rt:11/5 ,,
Percetakan DEDDY,Jl. Veteran 53 rt 029/007,,
Peternakan lele wiji,Jl A yani gang A nomer 47 ,,
JeEfZed,Dsn. Kramat Jati RT 011 ,,
SKETSA WAJAH,PERUM KEMBANG PERMAI BLOK N8 BONDOWOSO,,
PEDAGANG KAMBING,KAPLINGAN DESA BESUK RT 05 RW 01,,
UD. MAKMUR JAYA,RT 008 RW 002,,
'' HIJR 19 '',Dusun Rowo RT.012 RW.005,,
Warung Klontong,Jl. Mastrip RT 3 RW 1 Sukowiryo Bondowoso,,
TOKO DEWI,KEL CERMEE RT 018 KEC CERMEE KAB BONDOWOSO,,
PENJAHIT MARIA,Dusun drasah,,
UD BAROKAH SEHAT,Desa Tumpeng Rt 16 Rw 07 Kecamatan Wonosari Kab. Bondowoso,,
TOKO ASSALAM,DESA SUKOSARI KIDUL RT.003 RW.001,,
Gibran Snack,Desa Kalitapen RT015/RW005 Kec. Tapen Kab. Bondowoso,,
Dewe Studio ,Jln pelita 19 /27 rt16 rw06 Tamansari ,,
"KIOS ""DEFI""",Jalan Raya Kawah Ijen RT. 033 RW. 004 ,,
DEFIN besek,taman rajeh rt06/03,,
Lampu hias ukir,jl.Ahmad Ayani gg c no 27 Bondowoso jawa timur,,
UD. TANI JAYA,"DESA JATISARI RT.01 RW.01, KEC. WRINGIN, KAB. BONDOWOSO",,
Asesoris rumah tangga,Barang plastik,,
UD USAHA BARU,"Dusun Lawang Seketeng, RT.008/ RW.002",,
gas eceran,klabang rt02/01,-7.8516705,113.8152737
NINDY BAROKAH,DS. Wonosari RT. 032 RW. 011 Kec. Wonosari Kab. Bondowoso,,
Rumah cantik Naura,Jl.jenpol.s yudo diharjo gg.purbosari rt.29 rw.6 kotakulon bondowoso,,
usaha mami,Perumahan Ki Ronggo No.7 Sekarputih,,
DEVIN,Dusun Lunggusari Rt.025 Rw.006,,
DEVIN SHOP,Dusun Lunggusari Timur Rt.025 Rw.006,,
"UD ""BINTANG UNGGUL""",DUSUN SUMBERAYEM RT. 033 RW. 004,,
TOKO ADEL,Dusun Krajan Utara RT. 003 RW. 001,,
TOKO ADEL DAN DISTRIBUTOR Msi Skincare @ Halthy,Dusun Krajan Utara Rt. 003 RW. 001,,
Kerajinan sapu ijuk,Dusun jatian Rt.25 Rw.09,,
Jual beli bunga,Jl.raya situbondo RT 034 RW 011,,
Pede.Net,Desa Klampokan RT 09 RW 02 Kecamatan Klabang Bondowoso,,
TOKO PROFIT,Jl. KH Manyur No.20 Rt 24 Rw 07 Blindungan Bondowoso,,
TOKO SAMPEAN,Jalan Raya No.810 RT.016 RW.004,,
UD. MADYA,Jl. PB SUDIRMAN 82,,
,JL. PB SUDIRMAN 82,,
UD BAROKAH,PASAR INDUK BONDOWOSO,-7.9139689,113.8278296
Warung makan,Pekauman rt009/rw003grujugan bondowoso,,
Warung wongndeso,Pekauman rt009/rw003grujugan,,
las akbar,jl.piere tendean,,
"Toko "" Sepatu&Sandal Kotakulon""",Jl. MT. Haryono No. 2 RT. 010 RW. 002,,
"WARUNG ""BOK TIJA""",Tenggarang Rt.5 Rw.2,-7.9112111,113.8481654
Perdagangan (Jual Gorengan),Jl Brigjen katamso 15 rt 8 rw 2 kotakulon,,
Penjahit,Jl.Hos Cokroaminoto No.3 Gg ayam ,,
Sayur Balap,Desa Jebung Lor RT 010 RW 001,,
PRACANGAN ,SEKARPUTIH RT.11 RW.03,-7.8990846,113.8272249
Warung,Desa mrawan dusun taman rt 010 rw 004  tapen bondowoso,,
ATHASENNA,Jalan Ahmad Yani Gang B No.22 RT.01/RW.01 Dabasah 68211 Bondowoso,,
Warung mie pangsit DR,Jl.letjend suprapto gg V no 40 rt.10 rw.02,,
kedai ihsan,"Jl. Brigjen Katamso no.47. Badean, Bondowoso",-7.9126561,113.8144204
PEDAGANG BAKSO,Poncogati Rt 05 Curahdami,-7.9027173,113.8052132
TOKO SEMBAKO,Jl. KH. Agus Salim,-7.9103604,113.8263967
catering,jalan Diponegoro RT/RW 003/001 Kotakulon,,
CV LISAN,Jl. RE. Martadinata 68 RT. 31 RW. 8 Kelurahan Dabasah Kabupaten Bondowoso ,,
,Jl. RE. Martadinata 68 RT. 31 RW 08,,
,Jl. RE. Martadinata 68 RT.31 RW.08,,
,Jl. RE. Martadinata 68 RT. 31 RW. 08,,
Olahan Dapur Mama Ita,Jl. KH. Agus Salim RT.017/Rw.004 Blindungan Bondowoso,,
WARUNG B. DEVI,KRAJAN RT 02 RW 01 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO,,
JONG SAKERA 2, JALAN  RAYA  MASJID NURUL HIDAYAH DUSUN KEMIRIAN RT 037/ RW 011 DESA WONOKUSUMO KECAMATAN TAPEN KABUPATEN BONDOWOSO,,
DEVI SALON,JL.KELAPA SAWIT RT.06 RW.02 DESA WONOSARI KAB.BONDOWOSO,,
Devi'e Colection,Re. Martadinata,-7.9148885,113.825333
LELE BANG IYEK,"Dusun selatan sawah, Desa Poncogati, Rt.01/Rw.01,Kecamatan Curahdami",,
TOKO BANG IYEK,"Dusun selatan sawah,Desa Poncogati, Rt.01/Rw.01,Kecamatan Curahdami",,
DEVIDEROSHOPE,KADEMANGAN RT 025 RW 001,,
Jual baju,DUSUN KALIANYAR TENGAH,,
Ice Cream World,Jl. Letjen Suprapto RT 13 RW 3,,
RADITYA Motor,Jl. PELITA 24 RT.016 RW.006 Bondowoso,,
UD SUMBER TANI JAYA,Dusun Sundang RT.012 RW.006,,
HDTSHIRT,jln. pakisan Gg Ponpes Nurul khalil  RT/RW 013/004,,
UD TUNGGAL JAYA,Dusun salak ,,
TOKO JAWA,Desa Sumbersuko RT. 04 RW. 01,,
Toko Baju Dewi,Dusun kalianyar barat rt 12 rw 03,,
toko,dusun sempol,,
Gallery Nadhira,Bercak Asri RT 06 ,,
UD. AYU LESTARI,SUKOWONO RT. 017 RW. 002,,
ROMANSA GALLERY (FLORIST AND ART),Jl. Diponegoro no 97/72 RT. 25 RW. 005 Kel. Kotakulon Kec. Bondowoso,,
Dewi Shop,Desa Sulek RT 16 RW 07 Kecamatan Tlogosari,,
BUBUR BAROKAH,jln mastrip B17 rt 007 / rw 002,,
Shofia Gallery,Jebung Kidul RT 02 RT 01,-7.9693898,113.923198
CATERING CITA RASA,VILLA KEMBANG ASRI BLOK I 27,,
Warung Trubus,Jl. teuku Umar RT 006/RW 006,,
BISMILLAH,JL.HOS COKROAMINOTO 10 RT.006 RW.001,,
KEDAI BAROKAH,Jl.Brigjen Katamso No.30,-7.9126561,113.8144204
Graha Karimata,Jl. Situbondo Gg karimata Rt.09 Rw.03,,
PRACANGAN,Jl.RE Martadinata 69.4 No.17,,
PEDAGANG JAYA,kotakulon,-7.9104489,113.8198271
TOKO DEWI,JL PELITA 127 RT.016 RW.006,,
UD  DWI PUTRI TEKNIK,JL RAYA LUMUTAN DESA LUMUTAN RT.058 RW.011 BOTOLINGGO,,
PERACANGAN,DUSUN WADUK RT.25 RW.06,,
ANEKA GORENGAN DEWI,BATAAN RT.008/003,,
Dewi Kripik,Desa Sukowiryo Rt. 015 Rw. 03 Kecamatan Bondowoso Kabupaten Bondowoso,,
Warung Mak Rom,Jl.Brigjen Katamso,-7.9126561,113.8144204
TOKO PERACANGAN,MANDIRO RT 24 RW 8,,
YUFA TART,PASAREJO RT.010 RW.005,,
TOKO,DUSUN SELATAN SAWAH,,
Manting Kuning ,"Jl. MT Haryono 977, RT 15 RW 03, kotakulon, Bondowoso, Jawa Timur",,
GALERI UTAMA,DUSUN KRAJAN SELATAN RT.001 RW.001,,
JUAL BELI BAJU DAN HIJAB,Jalan Pesantren Dusun Krajan RT 01 RW 01 Desa Padasan,,
LANCAR JAYA,Dusun Jawa,,
TOKO SAMPURNA,Desa Ramban Wetan RT. 01 RW. 01 Kec. Cermee Kab. Bondowoso,,
ANEKA OLAHAN MAKANAN DAGING FROZEN DAN BAKSO,"Jalan raya pujer, sumber salam bondowoso",,
Kafe Teman Sehati,RT 08/RW 03 dusun bunduh desa bataan kecamatan tenggarang,,
TOKO MULYA,Jln PB Sudirman No 45,,
Dheny rumah kaos,jl. mayjen panjaitan 25 rt 18 rw 08 gang walet tamansari bondowoso,,
Selep Dina,"Jl, Cermee Banyumas Rt.02/Rw.01 Sempol",,
Rumah Batik Naila,jl brigjend katamso 55 rt 11 rw 05,,
TOKO WIJAYA,Perumahan taman mutiara blok o no 11 pejaten,-7.9103096,113.8430069
BOX - BOX AQUATIK,A.YANI GG.ART.002 RW.001,,
TOKO B. NURYA,"TAMAN KENIK RT 09 RW 03, DESA PAKUWESI",,
peralatan bayi,klabang 03/01,,
Puspitasari,"Koncer Kidul, Bondowoso",-7.9380257,113.8301658
Dapur dyah,Jl KH Agus Salim GG UD sumenep blindungan Bondowoso ,,
Dyah shop,Jln kh Agus Salim GG UD sumenep blindungan Bondowoso RT 05 RW 02,,
Diah jajanan tape,Jl. Kolonel sugiono no. 29,-7.9171767,113.8298193
LALAPAN,Jl. KIS MANGUNSARKORO NO 94,,
Pink Shop ,Khairil Anwar No.04 RT?RW 006/001,,
konter flas hp,mandiro,-7.8802838,113.8326099
DianCatering,Sukodono,-8.0076363,113.9079291
RICCO LELE,Dusun krajan RT 10 RW 02 desa pengarang kecamatan jambesari darus sholah,,
RICCO ONDERSTEL,DUSUN KRAJAN RT 10 RW 02 ,,
Barokah,Jebung Kidul RT. 05 RW. 01,-7.9693898,113.923198
JUAL KETAN BUBUR,DESA TAMAN RT 76 RW 09,,
Coffee Shop,Sekarputih,-7.8990846,113.8272249
HARMONY FAMILY,DESA SUKOWIRYO VILLA KEMBANG ASRI BLOK BB 7 RT. 026 RW.006,,
perdagangan,perumahan griya diponegoro regency blok d.37,,
Toko,Desa Kembang RT08/RW3 Kecamatan Bondowoso,,
PANDU  PETSHOP,JALAN KH. ASYARI NO 129,,
Angkringan,Jalan ahmad yani gang nol ,,
dzahra snack,dusun taman,,
CEMILAN DAN GORENGAN,SUMBERSALAM RT/RW 026/008,,
RAYA DESIGN PRINTING,JL. DIPONEGORO NO.87B RT26 / RW05 KOTAKULON BONDOWOSO,,
WARUNG LALAPAN CAK JENGGOT,DUSUN GABUGAN RT.011 RW.003,,
Industri kue,"Jln. Mastrip no.04, Rt14/Rw004, Sukowiryo, Bondowoso",,
PRACANGAN,JL. PERIKANAN DARAT RT.19 RW.07,,
Penjahit pakaian,Maesan ,-8.0308252,113.7758355
PERDAGANGAN,Desa jetis RT.13 RW.06,,
DAGANG KUE KREPES,Dusun Singal RT. 021 RW. 005,,
Mie Ayam,"Sukowiryo RT.008, RW.002, Sukowiryo, Bondowoso",,
Diana Cakery,Jl. Cipto Mangun Kusumo No.54 RT 23/RW 04 ,,
Najwa collection,Desa poncogati RT 03 RW 01 Curahdami Bondowoso,,
Ngemilk_in,"Paguan rt 5/01, taman krocok.",,
Taksi Online,SULEK RT007/RW003,,
Maju Jaya,Dusun Krajan Barat RT 003 RW 001,,
Ud.  Dua putrikojip,PEKAUMAN RT/RW 011/003,,
UD TERLANJUR JAYA,DESA SUMBERSALAM ,-7.9857688,113.9193855
Coconuto,Desa koncer Jl. Tamanan,,
TRIGE,Jl.Diponogoro gg malabar rt 21 rw 07 kotakulon Bondowoso,,
Didik Bengkel,RT. 015 RW. 003,,
"TOKO ""BERKAH JAYA""",Desa Rejoagung Dsun Plampang Rt.017/Rw.002 Kec.Sumber Wringin Kab.Bondowoso,,
TOKO BUKIT TINGGI,Desa Maskuning Kulon ,,
DIDIK TAILOR,Desa taman kecamatan grujugan RT 5,,
MEUBEL ANUGRAH,PEJATEN RT:02/01,-7.9015201,113.8472718
UD BERKAH JAYA,DESA CERMEE RT. 05 KECAMATAN CERMEE KABUPATEN BONDOWOSO,,
DIX MILLIAN BONDOWOSO,"Sumber Salam, RT. 027/ RW. 008",,
UD. ALSYA JAYA,Kembang RT. 25 RW. 09,-7.943275,113.7988114
TOKO SEMBAKO,"sumber pandan, rt : 05 rw : 02, ",,
KUSUMA JAYA,"Jl,Raya Tamanan No. 31 ",-7.961193,113.8263849
Penjahit,Lojih Desa Jetis rt11 rw05,,
Catering dan kue,Desa klampokan rt 07 rw 02,,
DIDIT JUAL BELI DAN TERNAK BURUNG,JL MASTRIP SUKOWIRYO RT 7 RW 2,,
UD JAYA FAQIH,Kalitapen Rt. 025 Rw. 010,,
TOKO SEDERHANA,Jln. Kolonel Sugiono No. 67 Rt. 10 Rw. 02 Kelurahan Kademangan,,
SUMBER BAROKAH MOTOR,Dusun Randulimasatu RT 012 RW 002,,
SUMBER BAROKAH,Dusun Randulimasatu RT.012 RW.002,,
LENSA OUTDOOR BONDOWOSO,jl.panjaitan rt 01/ rw 01 kelurahan tamansari.kabupaten bondowoso,,
IKINZ MEUBLE,"Dusun Krajan RT.001, RW.001 ",,
TANI,JL. KIS MANGUNSARKORO RT 007/RW 003,,
PERTANIAN,Jl. Argopuro RT01 RW01 Sumber Salak Curahdami Bondowoso,,
Es Dawet ,JL DIPONEGORO GG MALABAR,,
Warung Peracangan,Diponegoro,-7.9079348,113.8130524
MANDIRI USAHA,RT.013 / RW.002,,
TOKO ANDIKA,Trotosari RT.05/RW.01,-7.9883228,113.9588028
Kuliner Mas Blangkon,Perum Pancoran Mas B12 RT. 035 RW. 013,,
BENGKEL GIO,KEMBANG PERMAI L  10 RT.028 RW.010,,
CARANG MAS DARI BUAH APEL,"Jl.veteran no.60 depan polres Bondowoso, pasar buah Jawa timur",,
UD NINA CAMILAN,DUSUN SRATEN 01,,
Double A collection,Dusun dakon desa kejawan rt 14 rw 3 kecamatan grujugam kabupaten bondowoso jawa timur,,
BANAJ,jL. kOPRAL MOERIN RT.00 RW. 02 Pejaten ,,
,JLKOPRAL MOERIN RT.00 RW. 02 PEJATEN ,,
MBOK QOIS,Lumbung RT 012 / RW 004 ,,
TOKO AZ ZAHRA,Dusun Krajan RT 011 RW 005,,
,Dusun Kratan RT 011 RW 005,,
,Dusun Krajan RT 01 RW 005,,
,Dusun Krajan RT 011 RW 05,,
JUAL KUE,KOTA KULON RT.15 RW 03 BONDOWOSO,,
DINDA CELL,DESA LUMUTAN RT.019 RW.005,,
SAKTI STORE,Dusun Binakal RT.06 RW.02,,
JUAL BUBUK KOPI,Jalan Rengganis No 9 no 35/10,,
UD BAROKAH JAYA TEBU,MANGLI WETAN RT 11 RW 05,-7.8877111,113.953904
UD RIAMA I,SUKOSARI LOR RT.01 RW.01,-7.94937,113.9559611
CATERING MAKANAN DAN MINUMAN,DUSUN GENTENGAN RT 8 RW 3,,
Meubelair Kayu,"Dusun Pendil Rt 03 Rw 01 Desa Pakuniran, Kecamatan Maesan Kabupaten Bondowoso",,
JAKFAR AL HASIN,"Desa Tangsil Kulon, Rt. 002 Rw.001 Kecamatan Tenggarang",,
Penjahit,Jl Letnan Sutarman 57,,
DJATI ABADI,"Botolinggo, Rt: 018 Rw: 008",,
PRODUKSI KUE BASAH,Jl. Jenpol S. Yudodiharjo,,
DUA LENSA OPTIK,JALAN AIP MOEGIMAN KONCER KIDUL KEC. TENGGARANG KAB.BONDOWOSO,,
Dagang Isi Ulang Tinta Spidol,Tamansari Indah B3 Rt 20 Rw 07 Tamansari Bondowoso,,
KURMA,Jl. A Yani No. 58 Rt. 024 Rw. 004 ,,
,Jl. A Yani No. 58 Rt. 024 Rw. 004,,
djOniesTudio,Perumahan kironggo gg. 2 no 18 Bondowoso 68292,,
TOKO,DAWUAN BATU RT 003 RW 002,,
Warung Djuharijah,Jalan Letjen Sudiono RT 16 RW 04 Kelurahan Dabasah,,
TOKO NEW EFERATA,JL.MAYJEND PANJAITAN RT.003 RW.001,,
DEPO AIR MINUM ISI ULANG,Dusun Paleran RT. 004/002,,
WARUNG BU TOTOK,Pujasera Jembatan Kironggo ,,
Bumbu Masak Buk ju,"Jl. DR. Cipto Mangunkusumo 33, RT/RW 021/003, Kel. Badean, Kec. Bondowoso",,
DAGANG,"Dusun Krajan Rt.002/Rw.001 Desa Pakem, Kec. Pakem, Kab. Bondowoso",,
Rumah Belajar/Les Privat/Instal Ulang Laptop,Jl HOS Cokroaminoto RT 9 RW 2,,
PUJI JAYA,PERUM GRIYA ASTARI BLOK A-1,,
pertanian,Desa Jetis RT 13 RW. 06,,
